nama_usaha,alamat,penanggung_jawab,badan_usaha,nomor_telepon,nomor_faximili,jenis_hotel,masa_berlaku
COMFORT,Jl. Latumenten No. 50,Yogi Idham Fauzi,PT. Comfort Nusantara,021 56960198,021 56960198,H Bintang 2,28-06-15
NOVOTEL MANGGA DUA SQUARE,Jl. Gunung Sahari Raya No. 1,Ariesman Widjaja,PT. Kreasi Cipta Utama,021 62312800,021 62312800,H Bintang 2,28-06-15
MEGA,Jl. Proklamasi No. 40,Sujana,PT. Mega Jaya Adisempurna,021 3923131,021 3152173,H Bintang 2,02-07-15
GOLDEN BOUTIQUE,Jl. Angkasa No. 1 Gunung Sahari Utara,Rachmat Arifin,PT. Batara Tabaraka,021 6263001,021 6265736,H Bintang 2,02-07-15
MEGA CIKINI,Jl. Cikini Raya No. 62-64,Sujana,PT. Citrapuri Bhumicikini,021 3140883,021 3140701,H Bintang 2,02-07-15
DISCOVERY HOTEL & CONVENTION ANCOL,Jl. Lodan Timur Raya No. 07,Jeffry Chandra,PT. Marina Ancol Green Hotel,021 6453456,021 6452986,H Bintang 2,08-07-15
CIPTA II,Jl. Mampang Prapatan No. 1 A,Dra. Anny L Bernardus,PT. Kreasi Megah Cipta Sarana,021 798685,021 7989685,H Bintang 2,09-07-15
HOTEL MILLENNIUM SIRIH JAKARTA,Jl. H. Fachrudin No. 3,Ronnie Frans,PT. Millennium Sirih Jakarta Hotel,021 2303636,021 2303636,H Bintang 2,09-07-15
GRAND MELIA JAKARTA,Jl. HR. Rasuna Said Kav. X-O No. 1-4,Johannes Suriadjaja,PT. Suryalaya Anindita International,021 5268080,021 5268181,H Bintang 2,09-07-15
LUMIRE HOTEL,Jl. Senen  Raya 135,"Herman S Silalahi, SE",PT. Segitiga Plaza Hotel,021 3442828,021 3442929,H Bintang 2,09-07-15
MAHARANI,Jl. Warung Buncit Raya No. 8,Join Virgo Amir,PT. Tuanku Laras Batipuh,021 79183855,021 79183833,H Bintang 2,09-07-15
MAHARADJA,Jl. Kap. Pierre Tendean No. 1 RT. 005/001,Join Virgo Amir,PT. Purosati Ekatama,021 79180044,021 7995290,H Bintang 2,09-07-15
ILLIGAL'S,Jl. Hayam Wuruk No. 108,Khoe Yam Kusuma,PT. Sumber Sejahtera Sempurna,021 6298899,021 6298899,H Bintang 2,10-07-15
VERANDA,Jl. Kyai Maja No. 63,Ir. Hadi Kusuma Christanto,PT. Graha Pakubuwono Kusuma,021 108,021 108,H Bintang 2,15-07-15
TEMATIK HOTEL,Jl. Raya Jembatan Tiga No. 35,Wedji Hartono P,PT. Tumbuh Sehat Makmur,021 66690366,021 66690566,H Bintang 2,17-07-15
KOSENDA,Jl. KH. Wahid Hasyim No. 127,Husin,PT. Benika Prima Loka,021 72797979,021 108,H Bintang 2,18-07-15
SWISS-BEL HOTEL MANGGA BESAR,Jl. Kartini Raya No. 57 RT. 003/002,Hartono,PT. Internusa Jaya Semesta,021 62200888,021 6256970,H Bintang 2,26-07-15
LE GRANDEUR,Jl. Mangga Dua Raya,Subagjo Hidayat,PT. Sinar Wisata Lestari,021 6428811,021 6128822,H Bintang 2,26-07-15
KRISTAL (LE-CRISTAL),Jl. Raya Tarogong Kav. 17,Nyotowijoyo,PT. Metropolitan Linggajaya,021 7507050,021 7507110,H Bintang 2,26-07-15
SAHATI HOTEL,Jl. Taman Margasatwa No. 45,Henry Al Azwar,PT. Hotel Sahati,021 78837907,021 78837905,H Bintang 2,26-07-15
HOTEL ARYADUTA SEMANGGI,Jl. Garnisun dalam No. 8,Heri Krisdiyarto,PT. Sanggraha Nusa Raya,021 2515151,021 2514090,H Bintang 2,29-07-15
IBIS TAMARIN,Jl. KH. Wahid Hasyim No. 77,Drs. T. Bachrumsjah Hamzah,PT. Tamarindo Nusa Hotel,021 3912323,021 3157707,H Bintang 2,29-07-15
PARDEDE INTERNATIONAL,Jl. Raden Saleh I No. 9-11,Jhonny Pardede,PT. Jhonny Pardede,021 3146270,021 323868,H Bintang 2,31-07-15
ARION SWISS-BELHOTEL KEMANG,Jl. Kemang Raya No. 7,Febert Hotma Hutagalung,PT. Beringin Floratama Megah,021 7198000,021 7190088,H Bintang 2,31-07-15
THE AKMANI SUITE HOTEL,Jl. KH. Wahid Hasyim No. 91,Juslina Djaja,PT. Akmanindo Parma,021 31905335,021 31900079,H Bintang 2,12-08-15
GRAND CEMPAKA,Jl. Letjen Suprapto No. 27,"Drs. Idris Sasmita, MM ",PT. Jakarta Tourisindo,021 4260066,021 4260055,H Bintang 2,28-08-15
ASTON PRIORITY SIMATUPANG,Jl. TB. Simatupang Kav. 9,Kadafi Yahya,PT. Nusa Pratama Property,021 78838777,021 78839777,H Bintang 2,29-08-15
IBIS MANGGA DUA,Jl. Pangerang Jayakarta/Jl. Gatep RT.003/06,Wiyandi The,PT. Pacific Corponusa,021 6250505,021 6250505,H Bintang 2,05-09-15
FASHION,Jl. Gunung Sahari XII No.2,Wedji Hartono Pandojo,PT. Tumbuh Sehat Makmur,021 6490808,021 6490808,H Bintang 2,06-09-15
MERLYNN PARK HOTEL,Jl. KH. Hasyim Ashari No. 29-31,Luhur Wibowo Hidayat,PT. Merlynn Park Hotel,021 30026888,021 30026888,H Bintang 2,09-09-15
PARK HOTEL,Jl. D.I Panjaitan Kav. 5-7,Sinurlinda Gustina M,PT. Pembangunan Perumahan (Perser,021 29982000,021 29982005,H Bintang 2,09-09-15
FORTUNE,Jl. Wijaya II Komp Graha Puri Blok F.21,Yogi Idham Fauzi,PT. Jakarta Entertainment,021 7208868,021 7208868,H Bintang 2,09-09-15
COMFORT,Plaza Kelapa Gading Blok B-86-95 Jl. Raya Boulev,Yogi Idham Fauzi,PT. Jakarta Entertainment,021 45859140,021 45859140,H Bintang 2,12-09-15
CIPUTRA,Jl. Letjend S. Parman,Candra Ciputra,PT. Ciputra Sentra,021 5660640,021 5661172,H Bintang 2,13-09-15
IBIS BUDGET,Jl. Cikini Raya No. 75,"Andi Sofyan., SH",PT. Hotel Cikini Realty,021 108,021 108,H Bintang 2,17-09-15
CONDOTEL GOLDEN SKY,Jl. Taman Pluit Kencana No. 48,Fredie Tan,PT. Golden Sky Indonesia,021 6610610,021 6610610,H Bintang 2,17-09-15
CIPTA HOTEL PANCORAN,Jl. Raya Pasar Minggu No. 19,Dra. Anny L. Bernardus,PT. Multikreasi Ciptasarana,021 108,021 108,H Bintang 2,17-09-15
TWIN PLAZA,Jl. Letjen S. Parman Kav. 93-94,Hendra Lie,PT. Slipi Sri Indopuri,021 56960888,021 5690777,H Bintang 2,17-09-15
SUMO,Jl. Boulevard Barat No. 1,Rudy Susanto,PT. Graha Makmur Berjaya,021 108,021 108,H Bintang 2,19-09-15
SURYA BARU,Jl. Batu Ceper No. 11 A,Tuty Suryani Budiman,PT. Wisataria Surya Kencana,021 3811108,021 3861878,H Bintang 2,19-09-15
MALIOBORO,Jl. Gajah Mada No. 13/H,Rudy Susanto,PT. Global Arta Berjaya,021 63850000,021 6347524,H Bintang 2,26-09-15
GRAND ASIA,Jl. Bandengan Selatan No. 88,Sumarno,PT. Megah Asia,021 66606969,021 66607007,H Bintang 2,26-09-15
SPARKS HOTEL JAKARTA,Jl. Mangga Besar Raya No. 44,Rulli Maulana Muchidin,PT. Sumbermitra Asri Hotel,021 6252534,021 6299049,H Bintang 2,26-09-15
MULIA SENAYAN,Jl. Asia Afrika No. 1,Suryati Benniardi,PT. Mulia Intan Lestari,021 5747777,021 5747885,H Bintang 2,26-09-15
IBIS KEMANG,Jl. Bangka Raya RT. 002/07,Emelia Tasani,PT. Kemang Suar Artha,021 108,021 108,H Bintang 2,29-09-15
